Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
FLT3	0	0	1	33	15	0	3	52	52	52
DNMT3A	4	0	0	0	39	5	6	54	48	48
NPM1	0	33	0	0	1	0	0	34	33	33
IDH2	0	0	0	0	20	0	0	20	20	20
IDH1	0	0	0	0	18	0	0	18	18	18
TET2	10	4	0	0	4	8	1	27	17	17
RUNX1	1	3	1	0	8	5	1	19	16	16
TP53	2	2	0	0	11	1	3	19	15	15
NRAS	0	0	0	0	15	0	0	15	15	15
CEBPA	6	2	2	6	2	1	0	19	13	13
WT1	1	7	0	0	2	0	2	12	12	12
PTPN11	0	0	0	0	9	0	0	9	9	9
KIT	1	1	0	1	7	0	0	10	8	8
KRAS	0	0	0	0	8	0	0	8	8	8
U2AF1	0	0	0	0	8	0	0	8	8	8
SMC3	0	0	0	0	5	1	1	7	7	7
PHF6	0	2	0	0	2	1	1	6	6	6
SMC1A	0	0	0	0	5	0	1	6	6	6
STAG2	0	0	0	0	0	3	3	6	6	6
TTN	0	0	0	1	5	0	0	6	6	6
FAM5C	0	0	0	0	6	0	0	6	5	5
ASXL1	1	1	0	0	0	2	1	5	5	5
RAD21	1	1	0	0	0	2	1	5	5	5
PLCE1	0	0	0	0	4	0	0	4	4	4
EZH2	0	2	0	0	1	0	1	4	3	3
CACNA1B	0	0	0	0	2	0	1	3	3	3
CACNA1E	0	0	0	0	3	0	0	3	3	3
COL12A1	0	0	0	0	2	0	1	3	3	3
CSMD1	1	0	0	0	2	0	0	3	3	3
DIS3	0	0	0	0	3	0	0	3	3	3
DNAH9	0	0	0	0	3	0	0	3	3	3
FCGBP	0	0	0	0	3	0	0	3	3	3
GBP4	0	0	0	0	2	0	1	3	3	3
KDM6A	0	0	0	0	2	0	1	3	3	3
MUC16	0	0	0	0	3	0	0	3	3	3
PTPRT	0	0	0	0	3	0	0	3	3	3
SMG1	0	0	0	0	3	0	0	3	3	3
SPEN	0	0	0	0	2	1	0	3	3	3
SUZ12	1	0	0	0	2	0	0	3	3	3
HNRNPK	1	0	0	0	0	0	2	3	2	2
MUC5B	0	0	0	0	3	0	0	3	2	2
ADAM11	0	0	0	0	2	0	0	2	2	2
APOB	0	0	0	0	2	0	0	2	2	2
ARAP2	0	0	0	0	1	0	1	2	2	2
ATP10B	0	0	0	0	2	0	0	2	2	2
BCOR	1	1	0	0	0	0	0	2	2	2
BMPER	0	0	0	0	2	0	0	2	2	2
BSN	0	0	0	0	2	0	0	2	2	2
C10orf28	0	0	0	0	2	0	0	2	2	2
CACNA2D3	0	0	0	0	1	1	0	2	2	2
CADM2	0	0	0	0	2	0	0	2	2	2
CADPS	0	0	0	0	1	0	1	2	2	2
CALR	0	1	0	0	0	0	1	2	2	2
CBFB	0	1	0	0	0	1	0	2	2	2
CBL	0	0	0	0	1	0	1	2	2	2
CD74	0	0	0	0	2	0	0	2	2	2
CECR2	0	0	0	0	2	0	0	2	2	2
CHD4	0	0	0	0	2	0	0	2	2	2
CMYA5	0	0	0	0	2	0	0	2	2	2
CNTN5	0	0	0	0	2	0	0	2	2	2
CNTNAP4	0	0	0	0	2	0	0	2	2	2
CRISPLD1	0	0	0	0	2	0	0	2	2	2
CSMD3	0	0	0	0	2	0	0	2	2	2
CUL1	0	0	0	0	2	0	0	2	2	2
DCLK1	0	0	0	0	2	0	0	2	2	2
DDR2	0	0	0	0	2	0	0	2	2	2
DDX41	0	0	0	0	1	0	1	2	2	2
DLC1	0	0	0	0	2	0	0	2	2	2
DOCK2	0	0	0	0	1	0	1	2	2	2
DRD2	0	0	0	0	1	0	1	2	2	2
DST	0	0	0	0	2	0	0	2	2	2
E2F8	0	0	0	0	1	1	0	2	2	2
EED	0	0	0	0	1	1	0	2	2	2
EGFR	0	0	0	0	2	0	0	2	2	2
ETV6	1	0	0	0	0	0	1	2	2	2
FAM154B	0	0	0	0	2	0	0	2	2	2
FAM40B	0	0	0	0	2	0	0	2	2	2
FAM57B	0	0	0	0	1	1	0	2	2	2
FAM65A	0	0	0	0	2	0	0	2	2	2
FRYL	0	0	0	0	1	0	1	2	2	2
GALNTL4	0	0	0	0	2	0	0	2	2	2
GATA2	0	0	0	0	2	0	0	2	2	2
GIGYF2	0	2	0	0	0	0	0	2	2	2
GJB3	0	0	0	0	1	1	0	2	2	2
GPR112	0	0	0	0	2	0	0	2	2	2
GRID1	0	0	0	0	1	1	0	2	2	2
GRIK2	0	0	0	0	2	0	0	2	2	2
GRIK4	0	0	0	0	2	0	0	2	2	2
GRM3	0	0	0	0	2	0	0	2	2	2
GRM8	0	0	0	0	2	0	0	2	2	2
GSTK1	0	0	0	0	2	0	0	2	2	2
HECW1	0	0	0	0	2	0	0	2	2	2
ILDR1	0	0	0	0	2	0	0	2	2	2
KCNA4	0	0	0	0	2	0	0	2	2	2
KCNK13	0	1	0	0	1	0	0	2	2	2
KCNU1	0	0	0	0	1	1	0	2	2	2
KDM3B	1	0	0	0	1	0	0	2	2	2
KDR	0	0	0	0	2	0	0	2	2	2
KIAA0240	0	0	0	0	2	0	0	2	2	2
KIAA1683	0	1	0	0	1	0	0	2	2	2
KIF2B	0	0	0	0	2	0	0	2	2	2
MAP2	0	0	0	0	2	0	0	2	2	2
MED12	0	0	0	0	1	1	0	2	2	2
MEFV	0	0	0	0	1	0	1	2	2	2
MTA2	0	0	0	0	2	0	0	2	2	2
MTMR8	0	0	0	0	2	0	0	2	2	2
MTUS2	0	0	0	0	2	0	0	2	2	2
NF1	0	0	0	0	1	1	0	2	2	2
NMUR2	0	0	0	0	2	0	0	2	2	2
NR2E1	0	0	0	0	2	0	0	2	2	2
NRXN3	0	0	0	0	2	0	0	2	2	2
OR11H12	0	0	0	0	2	0	0	2	2	2
OR13H1	0	0	0	0	2	0	0	2	2	2
PDCD2L	0	0	0	0	2	0	0	2	2	2
PHIP	0	1	0	0	1	0	0	2	2	2
PKHD1L1	0	0	0	0	2	0	0	2	2	2
PLEKHH1	0	0	0	0	2	0	0	2	2	2
PPP1R3A	0	0	0	0	2	0	0	2	2	2
PRAMEF2	0	0	0	0	2	0	0	2	2	2
PRPF8	0	0	0	0	2	0	0	2	2	2
PSME4	0	0	0	0	2	0	0	2	2	2
RBBP4	0	0	0	0	2	0	0	2	2	2
RBM16	0	0	0	0	2	0	0	2	2	2
RFC3	0	0	0	0	1	0	1	2	2	2
RIMS1	0	0	0	0	2	0	0	2	2	2
RNF213	0	0	0	0	2	0	0	2	2	2
RYR3	0	0	0	0	2	0	0	2	2	2
SCN1A	0	0	0	0	2	0	0	2	2	2
SEMA3A	0	0	0	0	2	0	0	2	2	2
SEMA4A	0	0	0	0	1	0	1	2	2	2
SETBP1	0	0	0	0	2	0	0	2	2	2
SI	0	0	0	0	2	0	0	2	2	2
TCEAL6	0	0	0	0	1	1	0	2	2	2
TET1	0	0	0	0	2	0	0	2	2	2
THRAP3	0	0	0	0	1	1	0	2	2	2
TNC	0	0	0	0	2	0	0	2	2	2
TOP3B	0	0	0	0	2	0	0	2	2	2
TRPM3	0	0	0	0	2	0	0	2	2	2
TTBK1	0	0	0	0	2	0	0	2	2	2
TUBA3C	0	0	0	0	2	0	0	2	2	2
UNC5B	0	0	0	0	2	0	0	2	2	2
WAC	0	1	0	0	0	0	1	2	2	2
ZBTB33	0	0	0	0	2	0	0	2	2	2
ZC3H18	0	0	0	0	1	1	0	2	2	2
ZNF687	0	0	0	0	2	0	0	2	2	2
CBX7	0	2	0	0	0	0	0	2	1	1
ABCA10	0	0	0	0	0	0	1	1	1	1
ABCA4	0	0	0	0	1	0	0	1	1	1
ABCB11	0	0	0	0	1	0	0	1	1	1
ABCC3	0	0	0	0	1	0	0	1	1	1
ABCF1	0	0	0	0	1	0	0	1	1	1
ABCG4	0	0	0	0	1	0	0	1	1	1
ABCG8	0	0	0	0	1	0	0	1	1	1
ABL1	0	0	0	0	1	0	0	1	1	1
ACOXL	0	0	0	0	1	0	0	1	1	1
ACPL2	0	0	0	0	1	0	0	1	1	1
ACSM2A	0	0	0	0	0	0	1	1	1	1
ACSS3	0	0	0	0	1	0	0	1	1	1
ACTBL2	0	0	0	0	1	0	0	1	1	1
ACTL7A	0	0	0	0	1	0	0	1	1	1
ACVR2B	0	0	0	0	1	0	0	1	1	1
ADAMTS1	0	0	0	0	1	0	0	1	1	1
ADAMTS12	0	0	0	0	1	0	0	1	1	1
ADAMTS16	0	0	0	0	1	0	0	1	1	1
ADAMTS17	0	0	0	0	0	0	1	1	1	1
ADAMTSL1	0	0	0	0	1	0	0	1	1	1
ADCY10	0	0	0	0	1	0	0	1	1	1
ADCY3	0	0	0	0	1	0	0	1	1	1
ADCY5	0	0	0	0	1	0	0	1	1	1
ADNP	0	0	0	0	1	0	0	1	1	1
ADRBK1	0	0	0	0	0	0	1	1	1	1
ADSS	0	0	0	0	0	0	1	1	1	1
AFF2	0	0	0	0	0	0	1	1	1	1
AFF4	0	0	0	0	1	0	0	1	1	1
AGBL2	0	0	0	0	1	0	0	1	1	1
AGXT2	0	0	0	0	1	0	0	1	1	1
AKAP12	0	0	0	0	1	0	0	1	1	1
AKAP13	1	0	0	0	0	0	0	1	1	1
AKAP5	0	0	0	0	1	0	0	1	1	1
AKD1	0	0	0	0	1	0	0	1	1	1
AKR7A2	0	0	0	0	1	0	0	1	1	1
ALDH1A3	0	0	0	0	1	0	0	1	1	1
ALG13	0	0	0	0	1	0	0	1	1	1
ALG6	0	0	0	0	1	0	0	1	1	1
ALMS1	0	0	0	0	1	0	0	1	1	1
ALPK3	0	0	0	0	1	0	0	1	1	1
ALS2CR11	0	0	0	0	1	0	0	1	1	1
AMOT	0	0	0	0	1	0	0	1	1	1
ANG	0	0	0	0	1	0	0	1	1	1
ANK2	0	0	0	0	1	0	0	1	1	1
ANK3	0	0	0	0	0	0	1	1	1	1
ANKRD12	0	0	0	0	1	0	0	1	1	1
ANKRD13A	0	0	0	0	1	0	0	1	1	1
ANKRD24	0	0	0	0	0	1	0	1	1	1
ANKRD26	0	0	0	0	1	0	0	1	1	1
ANKRD30A	0	0	0	0	1	0	0	1	1	1
ANO2	0	0	0	0	1	0	0	1	1	1
ANO3	0	0	0	0	1	0	0	1	1	1
AP1G2	0	0	0	0	1	0	0	1	1	1
AP1M1	0	0	0	0	1	0	0	1	1	1
AP3S2	0	0	0	0	1	0	0	1	1	1
AQP5	0	0	0	0	1	0	0	1	1	1
ARC	0	0	0	0	1	0	0	1	1	1
ARHGAP18	1	0	0	0	0	0	0	1	1	1
ARHGAP35	0	0	0	0	1	0	0	1	1	1
ARHGAP39	0	0	0	0	1	0	0	1	1	1
ARHGAP5	0	0	0	0	1	0	0	1	1	1
ARHGEF1	0	0	0	0	1	0	0	1	1	1
ARHGEF10L	0	0	0	0	0	0	1	1	1	1
ARHGEF11	0	0	0	0	1	0	0	1	1	1
ARHGEF19	0	0	0	0	0	0	1	1	1	1
ARHGEF5	0	0	0	0	1	0	0	1	1	1
ARHGEF6	1	0	0	0	0	0	0	1	1	1
ARID1A	0	0	0	0	1	0	0	1	1	1
ARID2	0	0	0	0	0	1	0	1	1	1
ARID4B	0	0	0	0	1	0	0	1	1	1
ARL3	0	0	0	0	1	0	0	1	1	1
ARSF	0	0	0	0	1	0	0	1	1	1
ASB11	0	0	0	0	1	0	0	1	1	1
ASB15	0	0	0	0	1	0	0	1	1	1
ASB4	0	0	0	0	0	0	1	1	1	1
ASTL	0	0	0	0	1	0	0	1	1	1
ASXL2	0	1	0	0	0	0	0	1	1	1
ASXL3	0	0	0	0	1	0	0	1	1	1
ATF7IP	1	0	0	0	0	0	0	1	1	1
ATG16L1	0	0	0	0	1	0	0	1	1	1
ATG4C	0	0	0	0	1	0	0	1	1	1
ATP11B	0	0	0	0	1	0	0	1	1	1
ATP13A5	0	0	0	0	1	0	0	1	1	1
ATP1B4	0	0	0	0	1	0	0	1	1	1
ATP2A2	0	0	0	0	1	0	0	1	1	1
ATP2B2	0	0	0	0	1	0	0	1	1	1
ATP2B3	0	0	0	0	1	0	0	1	1	1
ATP2C1	0	0	0	0	1	0	0	1	1	1
ATP6AP2	0	0	0	0	1	0	0	1	1	1
ATP6V1C1	0	0	0	0	1	0	0	1	1	1
ATP6V1G3	0	0	0	0	1	0	0	1	1	1
ATRNL1	0	0	0	0	1	0	0	1	1	1
ATXN7L1	0	0	0	0	1	0	0	1	1	1
AURKB	0	0	0	0	1	0	0	1	1	1
AURKC	0	0	0	0	1	0	0	1	1	1
B3GALT5	0	0	0	0	1	0	0	1	1	1
B4GALNT3	0	0	0	0	1	0	0	1	1	1
BAAT	0	0	0	0	1	0	0	1	1	1
BAI1	0	0	0	0	1	0	0	1	1	1
BAIAP2L1	0	0	0	0	1	0	0	1	1	1
BBS12	0	0	0	0	1	0	0	1	1	1
BCAN	0	0	0	0	1	0	0	1	1	1
BCHE	1	0	0	0	0	0	0	1	1	1
BCMO1	0	0	0	0	1	0	0	1	1	1
BCORL1	0	1	0	0	0	0	0	1	1	1
BECN1	0	0	0	0	1	0	0	1	1	1
BICD1	0	0	0	0	1	0	0	1	1	1
BLZF1	0	0	0	0	1	0	0	1	1	1
BMP10	0	0	0	0	1	0	0	1	1	1
BMP5	0	0	0	0	0	1	0	1	1	1
BMP6	0	0	0	0	1	0	0	1	1	1
BNC2	0	0	0	0	1	0	0	1	1	1
BOD1L	0	0	0	0	1	0	0	1	1	1
BPTF	0	0	0	0	1	0	0	1	1	1
BRCC3	0	0	0	0	0	1	0	1	1	1
BRMS1	0	0	0	0	0	1	0	1	1	1
BRPF1	0	0	0	0	1	0	0	1	1	1
BRS3	0	0	0	0	1	0	0	1	1	1
BRWD3	0	0	0	0	1	0	0	1	1	1
BTBD16	0	0	0	0	0	0	1	1	1	1
BTD	0	0	0	0	1	0	0	1	1	1
BUB1	0	0	0	0	1	0	0	1	1	1
BUB3	0	0	0	0	1	0	0	1	1	1
C10orf118	0	0	0	0	1	0	0	1	1	1
C10orf120	0	0	0	0	1	0	0	1	1	1
C10orf18	0	0	0	0	1	0	0	1	1	1
C10orf76	0	0	0	0	1	0	0	1	1	1
C11orf41	0	0	0	0	1	0	0	1	1	1
C11orf70	0	0	0	0	1	0	0	1	1	1
C12orf11	0	0	0	0	0	1	0	1	1	1
C12orf63	0	0	0	0	0	0	1	1	1	1
C13orf18	0	0	0	0	1	0	0	1	1	1
C15orf57	0	0	0	0	1	0	0	1	1	1
C15orf60	0	0	0	0	1	0	0	1	1	1
C16orf57	0	0	0	0	1	0	0	1	1	1
C19orf46	0	0	0	0	1	0	0	1	1	1
C19orf62	0	0	0	0	0	0	1	1	1	1
C1RL	0	0	0	0	1	0	0	1	1	1
C1orf103	0	0	0	0	1	0	0	1	1	1
C1orf105	1	0	0	0	0	0	0	1	1	1
C1orf168	0	0	0	0	1	0	0	1	1	1
C1orf183	0	0	0	0	1	0	0	1	1	1
C1orf51	0	0	0	0	1	0	0	1	1	1
C2	0	0	0	0	1	0	0	1	1	1
C20orf24	0	0	0	0	1	0	0	1	1	1
C20orf26	0	0	0	0	0	1	0	1	1	1
C22orf42	0	0	0	0	1	0	0	1	1	1
C2orf89	0	0	0	0	1	0	0	1	1	1
C3	0	0	0	0	1	0	0	1	1	1
C3orf67	0	0	0	0	0	0	1	1	1	1
C4BPB	0	0	0	0	1	0	0	1	1	1
C5	0	0	0	0	1	0	0	1	1	1
C6orf106	0	0	0	0	1	0	0	1	1	1
C6orf118	0	0	0	0	1	0	0	1	1	1
C6orf142	0	0	0	0	1	0	0	1	1	1
C6orf170	0	0	0	0	1	0	0	1	1	1
C6orf174	0	0	0	0	1	0	0	1	1	1
C7	0	0	1	0	0	0	0	1	1	1
C7orf10	0	0	0	0	1	0	0	1	1	1
C8orf80	0	0	0	0	1	0	0	1	1	1
C8orf84	0	0	0	0	1	0	0	1	1	1
C9orf171	0	0	0	0	1	0	0	1	1	1
C9orf43	0	0	0	0	1	0	0	1	1	1
C9orf78	0	0	0	0	1	0	0	1	1	1
C9orf93	0	0	0	0	1	0	0	1	1	1
CACNA1G	0	0	0	0	1	0	0	1	1	1
CACNA1S	0	0	0	0	1	0	0	1	1	1
CACNA2D4	0	0	0	0	1	0	0	1	1	1
CACNG2	0	0	0	0	1	0	0	1	1	1
CADM3	0	0	0	0	1	0	0	1	1	1
CAGE1	0	0	0	0	1	0	0	1	1	1
CAMK1G	0	0	0	0	1	0	0	1	1	1
CAMKV	0	0	0	0	1	0	0	1	1	1
CAMTA1	0	0	0	0	1	0	0	1	1	1
CAND1	0	0	0	0	1	0	0	1	1	1
CAPN6	0	0	0	0	1	0	0	1	1	1
CAPRIN2	0	0	0	0	0	1	0	1	1	1
CARD18	0	0	0	0	1	0	0	1	1	1
CASC5	0	0	0	0	1	0	0	1	1	1
CASP10	0	0	0	0	1	0	0	1	1	1
CASZ1	0	0	0	0	1	0	0	1	1	1
CATSPER4	0	0	0	0	1	0	0	1	1	1
CBX5	0	0	0	0	0	1	0	1	1	1
CC2D2A	0	0	0	0	1	0	0	1	1	1
CCBE1	0	0	0	0	1	0	0	1	1	1
CCDC150	0	0	0	0	0	0	1	1	1	1
CCDC24	0	0	0	0	1	0	0	1	1	1
CCDC57	0	0	0	0	1	0	0	1	1	1
CCDC60	0	0	0	0	1	0	0	1	1	1
CCDC67	0	0	0	0	1	0	0	1	1	1
CCL11	0	0	0	0	1	0	0	1	1	1
CCL16	0	0	0	0	1	0	0	1	1	1
CCL20	0	0	0	0	1	0	0	1	1	1
CCL21	0	0	0	0	1	0	0	1	1	1
CCNG2	1	0	0	0	0	0	0	1	1	1
CD109	0	0	0	0	0	0	1	1	1	1
CD320	0	0	0	0	1	0	0	1	1	1
CD70	0	0	0	0	1	0	0	1	1	1
CDC42	0	0	0	0	1	0	0	1	1	1
CDH16	0	0	0	0	1	0	0	1	1	1
CDH24	0	0	0	0	0	1	0	1	1	1
CDH4	0	0	0	0	1	0	0	1	1	1
CDHR2	0	0	0	0	1	0	0	1	1	1
CDON	0	0	0	0	1	0	0	1	1	1
CELSR1	0	0	0	0	1	0	0	1	1	1
CELSR3	0	0	0	0	1	0	0	1	1	1
CENPB	0	0	0	0	0	1	0	1	1	1
CENPF	0	0	0	0	1	0	0	1	1	1
CENPN	0	0	0	0	1	0	0	1	1	1
CEP170	0	0	0	1	0	0	0	1	1	1
CEP290	0	0	0	0	1	0	0	1	1	1
CFHR2	0	0	0	0	1	0	0	1	1	1
CGN	0	0	0	0	1	0	0	1	1	1
CHIC2	0	0	0	0	1	0	0	1	1	1
CHIT1	0	0	0	0	1	0	0	1	1	1
CHST6	0	0	0	0	1	0	0	1	1	1
CIC	0	0	0	0	1	0	0	1	1	1
CKAP4	0	0	0	0	1	0	0	1	1	1
CLCN1	0	0	0	0	1	0	0	1	1	1
CLCN6	0	0	0	0	1	0	0	1	1	1
CLDN11	0	0	0	0	1	0	0	1	1	1
CLDN14	0	0	0	0	1	0	0	1	1	1
CLDN18	0	0	0	0	1	0	0	1	1	1
CLPX	0	0	0	0	1	0	0	1	1	1
CLVS2	0	0	0	0	1	0	0	1	1	1
CNGA3	0	0	0	0	1	0	0	1	1	1
CNOT6	0	0	0	0	1	0	0	1	1	1
CNOT6L	0	0	0	0	1	0	0	1	1	1
CNTLN	0	0	0	0	0	1	0	1	1	1
CNTN6	0	0	0	0	1	0	0	1	1	1
CNTNAP5	0	0	0	0	1	0	0	1	1	1
COL11A2	0	0	0	0	1	0	0	1	1	1
COL22A1	0	0	0	0	1	0	0	1	1	1
COL25A1	0	0	0	0	0	0	1	1	1	1
COL27A1	0	0	0	0	1	0	0	1	1	1
COL2A1	0	0	0	0	1	0	0	1	1	1
COL5A3	0	0	0	0	1	0	0	1	1	1
COL7A1	0	0	0	0	1	0	0	1	1	1
COL9A1	0	0	0	0	1	0	0	1	1	1
COPS2	0	0	0	0	1	0	0	1	1	1
CORIN	0	0	0	0	1	0	0	1	1	1
CPNE3	0	0	0	0	1	0	0	1	1	1
CR1	0	0	0	0	1	0	0	1	1	1
CRB1	0	0	0	0	1	0	0	1	1	1
CRISPLD2	0	0	0	0	0	0	1	1	1	1
CROCC	0	0	0	0	1	0	0	1	1	1
CSF3R	0	0	0	0	1	0	0	1	1	1
CSTF2T	0	0	0	0	1	0	0	1	1	1
CTCF	0	0	0	0	0	1	0	1	1	1
CTNNA2	0	0	0	0	1	0	0	1	1	1
CTSG	0	0	0	0	1	0	0	1	1	1
CUL3	0	0	0	0	1	0	0	1	1	1
CUL9	0	0	0	0	1	0	0	1	1	1
CXorf58	0	0	0	0	0	1	0	1	1	1
CYBB	0	0	0	0	1	0	0	1	1	1
CYLC1	0	0	0	0	1	0	0	1	1	1
CYP26A1	0	0	0	0	1	0	0	1	1	1
CYP4A22	0	0	0	0	1	0	0	1	1	1
CYP4F12	0	0	0	0	1	0	0	1	1	1
CYP4F2	0	0	0	0	1	0	0	1	1	1
DAAM2	0	0	0	0	1	0	0	1	1	1
DAB2	1	0	0	0	0	0	0	1	1	1
DAG1	0	0	0	0	1	0	0	1	1	1
DAOA	1	0	0	0	0	0	0	1	1	1
DAXX	0	0	0	0	1	0	0	1	1	1
DAZAP2	0	0	0	0	1	0	0	1	1	1
DBX2	0	0	0	0	1	0	0	1	1	1
DCAF6	0	0	0	0	1	0	0	1	1	1
DCAF8	0	0	0	0	1	0	0	1	1	1
DCHS2	0	0	0	0	1	0	0	1	1	1
DCT	0	0	0	0	1	0	0	1	1	1
DCTD	0	0	0	0	1	0	0	1	1	1
DDX1	0	0	0	0	0	0	1	1	1	1
DDX17	0	0	0	0	0	0	1	1	1	1
DDX23	0	0	0	0	1	0	0	1	1	1
DDX53	0	0	0	0	1	0	0	1	1	1
DDX60	0	0	0	0	1	0	0	1	1	1
DHX32	0	0	0	0	1	0	0	1	1	1
DHX34	0	0	0	0	1	0	0	1	1	1
DIAPH2	0	0	0	0	1	0	0	1	1	1
DIO2	0	0	0	0	0	1	0	1	1	1
DLD	0	0	0	0	1	0	0	1	1	1
DLX3	0	0	0	0	1	0	0	1	1	1
DMD	0	0	0	0	1	0	0	1	1	1
DMRT3	0	0	0	0	1	0	0	1	1	1
DNAH11	0	0	0	0	1	0	0	1	1	1
DNAH3	0	0	0	0	1	0	0	1	1	1
DNAH5	0	0	0	0	1	0	0	1	1	1
DNAI1	0	0	0	0	1	0	0	1	1	1
DNAJC7	0	0	0	0	1	0	0	1	1	1
DNM2	0	1	0	0	0	0	0	1	1	1
DNMT1	0	0	0	0	1	0	0	1	1	1
DNMT3B	0	0	0	0	1	0	0	1	1	1
DOCK1	0	0	0	0	0	0	1	1	1	1
DOCK10	0	0	0	0	1	0	0	1	1	1
DOCK5	0	0	0	0	1	0	0	1	1	1
DOCK8	0	1	0	0	0	0	0	1	1	1
DOCK9	0	0	0	0	1	0	0	1	1	1
DOK2	0	0	0	0	1	0	0	1	1	1
DOPEY2	0	0	0	0	1	0	0	1	1	1
DSCAM	0	0	0	0	1	0	0	1	1	1
DUOXA2	0	0	0	0	1	0	0	1	1	1
DUSP1	0	0	0	0	1	0	0	1	1	1
DUSP26	0	0	0	0	1	0	0	1	1	1
DYNC1H1	0	0	0	0	1	0	0	1	1	1
DYNC2H1	0	0	0	0	1	0	0	1	1	1
DYRK4	0	0	0	0	1	0	0	1	1	1
DYSF	0	0	0	0	1	0	0	1	1	1
ECM2	0	0	0	0	1	0	0	1	1	1
EDC4	0	0	0	0	1	0	0	1	1	1
EFCAB6	0	0	0	0	1	0	0	1	1	1
EFTUD1	0	0	0	0	1	0	0	1	1	1
EGFL8	0	0	0	0	1	0	0	1	1	1
EGFLAM	0	0	0	0	1	0	0	1	1	1
EHD2	0	0	0	0	1	0	0	1	1	1
ELF1	0	0	0	0	1	0	0	1	1	1
