Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total
TCGA-AB-3009	0	5	0	1	25	2	1	34
TCGA-AB-2807	1	0	1	0	16	3	4	25
TCGA-AB-2959	0	0	0	0	22	0	1	23
TCGA-AB-3002	0	0	0	0	15	1	5	21
TCGA-AB-2849	0	1	0	0	16	1	2	20
TCGA-AB-2923	1	1	0	0	15	3	0	20
TCGA-AB-2972	0	1	0	0	16	2	1	20
TCGA-AB-2912	0	1	0	0	15	1	2	19
TCGA-AB-2877	0	0	0	1	17	0	0	18
TCGA-AB-2927	0	2	0	0	11	2	3	18
TCGA-AB-2822	1	0	0	0	14	1	1	17
TCGA-AB-2839	1	2	0	0	13	1	0	17
TCGA-AB-2900	0	2	0	0	14	0	1	17
TCGA-AB-2905	1	1	0	0	14	1	0	17
TCGA-AB-2806	0	2	0	0	14	0	0	16
TCGA-AB-2863	0	0	1	0	14	1	0	16
TCGA-AB-2908	2	0	0	0	11	3	0	16
TCGA-AB-2938	3	0	0	0	13	0	0	16
TCGA-AB-2838	0	0	0	0	13	0	2	15
TCGA-AB-2861	0	0	0	0	12	1	2	15
TCGA-AB-2865	0	2	0	0	10	2	1	15
TCGA-AB-2882	1	0	0	0	13	0	1	15
TCGA-AB-2904	0	0	0	0	15	0	0	15
TCGA-AB-2925	0	0	0	1	14	0	0	15
TCGA-AB-2949	2	0	0	0	12	0	1	15
TCGA-AB-2976	0	3	0	1	10	1	0	15
TCGA-AB-2978	0	0	0	0	10	4	1	15
TCGA-AB-2813	0	0	0	0	14	0	0	14
TCGA-AB-2846	1	2	0	0	11	0	0	14
TCGA-AB-2871	0	0	0	1	11	1	1	14
TCGA-AB-2874	0	0	0	0	14	0	0	14
TCGA-AB-2891	0	0	0	0	12	0	2	14
TCGA-AB-2907	0	0	0	0	11	1	2	14
TCGA-AB-2914	0	1	0	0	10	2	1	14
TCGA-AB-2915	0	1	1	1	8	1	2	14
TCGA-AB-2917	0	0	0	0	12	1	1	14
TCGA-AB-2952	1	0	0	0	13	0	0	14
TCGA-AB-2963	1	1	0	0	12	0	0	14
TCGA-AB-2964	0	0	0	0	10	3	1	14
TCGA-AB-3006	0	0	0	1	12	1	0	14
TCGA-AB-2803	1	0	0	0	12	0	0	13
TCGA-AB-2830	1	1	0	1	10	0	0	13
TCGA-AB-2864	0	1	0	0	10	1	1	13
TCGA-AB-2885	0	1	0	0	11	0	1	13
TCGA-AB-2926	0	1	0	0	10	1	1	13
TCGA-AB-2988	0	1	0	0	11	0	1	13
TCGA-AB-2817	0	3	0	0	9	0	0	12
TCGA-AB-2820	1	1	0	0	9	1	0	12
TCGA-AB-2821	0	1	0	0	9	1	1	12
TCGA-AB-2868	0	0	0	0	10	0	2	12
TCGA-AB-2878	1	0	0	0	11	0	0	12
TCGA-AB-2887	0	0	0	0	12	0	0	12
TCGA-AB-2898	0	1	1	0	8	0	2	12
TCGA-AB-2899	0	0	1	0	11	0	0	12
TCGA-AB-2929	0	0	1	0	9	2	0	12
TCGA-AB-2937	1	0	0	0	7	2	2	12
TCGA-AB-2945	1	1	0	0	10	0	0	12
TCGA-AB-2955	1	0	0	1	9	1	0	12
TCGA-AB-2968	1	1	0	0	8	1	1	12
TCGA-AB-2996	1	0	0	0	10	1	0	12
TCGA-AB-3005	0	0	0	0	10	2	0	12
TCGA-AB-2805	0	1	0	0	9	1	0	11
TCGA-AB-2810	0	0	0	0	10	0	1	11
TCGA-AB-2844	0	1	0	0	9	1	0	11
TCGA-AB-2886	1	2	0	0	8	0	0	11
TCGA-AB-2895	0	0	0	0	9	0	2	11
TCGA-AB-2922	0	1	0	1	8	1	0	11
TCGA-AB-2939	0	0	0	0	10	1	0	11
TCGA-AB-2943	0	0	0	0	8	2	1	11
TCGA-AB-2966	1	0	0	0	10	0	0	11
TCGA-AB-2983	0	0	0	0	11	0	0	11
TCGA-AB-2986	0	1	0	1	7	2	0	11
TCGA-AB-2989	1	2	0	0	8	0	0	11
TCGA-AB-2993	1	1	0	1	6	2	0	11
TCGA-AB-2819	0	0	0	0	10	0	0	10
TCGA-AB-2843	1	0	0	0	9	0	0	10
TCGA-AB-2859	2	1	0	0	7	0	0	10
TCGA-AB-2906	0	0	0	1	7	2	0	10
TCGA-AB-2910	1	0	0	0	9	0	0	10
TCGA-AB-2913	0	1	0	1	5	0	3	10
TCGA-AB-2924	1	1	0	0	7	1	0	10
TCGA-AB-2931	0	0	0	0	8	0	2	10
TCGA-AB-2965	1	1	0	1	7	0	0	10
TCGA-AB-2967	0	3	0	0	3	2	2	10
TCGA-AB-2984	0	1	0	1	7	0	1	10
TCGA-AB-3001	0	0	0	0	7	0	3	10
TCGA-AB-2802	0	2	0	0	7	0	0	9
TCGA-AB-2808	0	0	0	1	6	1	1	9
TCGA-AB-2828	0	0	0	0	6	1	2	9
TCGA-AB-2829	0	0	0	0	8	0	1	9
TCGA-AB-2854	0	0	0	0	8	0	1	9
TCGA-AB-2858	0	0	0	0	7	1	1	9
TCGA-AB-2867	0	0	0	0	8	1	0	9
TCGA-AB-2872	0	1	0	0	7	1	0	9
TCGA-AB-2875	0	0	0	1	7	0	1	9
TCGA-AB-2920	0	2	0	0	7	0	0	9
TCGA-AB-2928	1	0	0	0	7	1	0	9
TCGA-AB-2950	2	0	0	0	5	1	1	9
TCGA-AB-2971	1	0	0	0	6	2	0	9
TCGA-AB-2997	1	0	0	0	8	0	0	9
TCGA-AB-2999	0	0	0	0	8	1	0	9
TCGA-AB-3012	1	1	0	0	6	0	1	9
TCGA-AB-2814	0	1	0	0	6	0	1	8
TCGA-AB-2827	0	0	0	0	8	0	0	8
TCGA-AB-2832	0	0	0	0	8	0	0	8
TCGA-AB-2857	0	0	0	0	7	0	1	8
TCGA-AB-2860	0	1	0	0	7	0	0	8
