"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","57/411","112/5021",1.79019357370447e-33,5.79843698522878e-30,5.26505352097926e-30,"RPS8/RPS13/RPL8/RPL24/RPL13A/RPLP1/RPS15/RPL37A/RPL35/RPS21/RPL35A/RPS5/RPS12/RPS11/RPL36/RPS9/RPL34/RPL23/RPS18/RPL3/RPS27/RPL12/RPL19/RPL11/RPS27A/RPL10A/RPS28/RPL13/RPS25/RPL27A/RPLP0/RPS4X/RPS19/RPS3A/RPL31/RPL32/RPSA/RPS2/RPL5/RPS6/RPLP2/RPS16/RPL10/RPL18/EEF2/RPS3/RPL29/RPL9/RPL23A/RPL14/RPL30/RPL28/RPS7/UBA52/RPL27/RPL7A/RPL41",57
"GO:0006412","GO:0006412","translation","74/411","323/5021",1.86205801449009e-17,3.01560295446669e-14,2.73820531183437e-14,"RPS8/RPS13/RPL8/RPL24/RPL13A/RPLP1/RPS15/RPL37A/RPL35/RPS21/RPL35A/CALR/RPS5/RPS12/RPS11/RPL36/RPS9/RPL34/RPL23/RPS18/RPL3/EEF1A1/RPS27/RPL12/RPL19/RPL11/RPS27A/RPL10A/ZFP36/RPS28/RPL13/RPS25/EEF1B2/RPL27A/RPLP0/RPS4X/RPS19/RPS3A/RPL31/RPL32/RPSA/RPS2/RPL5/RPS6/RPLP2/RPS16/RPL10/RPL18/EEF1A2/EEF2/YBX1/RPS3/MRPL41/RACK1/RPL29/RPS4Y1/RPL9/RPL23A/PABPC1/RPL14/RPL30/GAPDH/HSPB1/RPL28/RPS7/UBA52/RPL27/EIF4G2/KRT17/ZFP36L1/EIF5A/RPL7A/RPL41/CSDE1",74
"GO:0043043","GO:0043043","peptide biosynthetic process","74/411","328/5021",4.68303472291638e-17,5.05611648917539e-14,4.59101719853627e-14,"RPS8/RPS13/RPL8/RPL24/RPL13A/RPLP1/RPS15/RPL37A/RPL35/RPS21/RPL35A/CALR/RPS5/RPS12/RPS11/RPL36/RPS9/RPL34/RPL23/RPS18/RPL3/EEF1A1/RPS27/RPL12/RPL19/RPL11/RPS27A/RPL10A/ZFP36/RPS28/RPL13/RPS25/EEF1B2/RPL27A/RPLP0/RPS4X/RPS19/RPS3A/RPL31/RPL32/RPSA/RPS2/RPL5/RPS6/RPLP2/RPS16/RPL10/RPL18/EEF1A2/EEF2/YBX1/RPS3/MRPL41/RACK1/RPL29/RPS4Y1/RPL9/RPL23A/PABPC1/RPL14/RPL30/GAPDH/HSPB1/RPL28/RPS7/UBA52/RPL27/EIF4G2/KRT17/ZFP36L1/EIF5A/RPL7A/RPL41/CSDE1",74
"GO:0006518","GO:0006518","peptide metabolic process","82/411","402/5021",4.34723833733438e-16,3.52017624365652e-13,3.19636418802954e-13,"RPS8/RPS13/RPL8/RPL24/RPL13A/RPLP1/RPS15/RPL37A/RPL35/RPS21/RPL35A/CALR/RPS5/RPS12/RPS11/RPL36/RPS9/RPL34/GPX4/RPL23/RPS18/RPL3/CLU/EEF1A1/RPS27/RPL12/RPL19/RPL11/RPS27A/RPL10A/ANPEP/GLO1/ZFP36/RPS28/RPL13/RPS25/EEF1B2/RPL27A/RPLP0/RPS4X/RPS19/RPS3A/RPL31/RPL32/RPSA/RPS2/RPL5/RPS6/RPLP2/RPS16/RPL10/RPL18/EEF1A2/EEF2/YBX1/RPS3/MRPL41/RACK1/RPL29/RPS4Y1/RPL9/RPL23A/PABPC1/RPL14/RPL30/GAPDH/HSPB1/RPL28/SEC11C/RPS7/UBA52/RPL27/EIF4G2/KRT17/ZFP36L1/EIF5A/GSTA1/RPL7A/RPL41/MIPEP/CSDE1/GPX1",82
"GO:0043604","GO:0043604","amide biosynthetic process","77/411","367/5021",7.93308188086507e-16,5.13905044242439e-13,4.66632226844989e-13,"RPS8/RPS13/RPL8/RPL24/RPL13A/RPLP1/RPS15/RPL37A/RPL35/RPS21/RPL35A/CALR/RPS5/RPS12/RPS11/RPL36/RPS9/RPL34/RPL23/RPS18/RPL3/EEF1A1/RPS27/RPL12/RPL19/RPL11/RPS27A/RPL10A/CCN1/ZFP36/RPS28/RPL13/RPS25/EEF1B2/RPL27A/RPLP0/RPS4X/RPS19/RPS3A/RPL31/RPL32/RPSA/RPS2/RPL5/RPS6/RPLP2/ACLY/RPS16/RPL10/RPL18/EEF1A2/EEF2/YBX1/RPS3/MRPL41/RACK1/RPL29/RPS4Y1/RPL9/RPL23A/PABPC1/RPL14/RPL30/GAPDH/HSPB1/RPL28/RPS7/UBA52/RPL27/EIF4G2/PDK4/KRT17/ZFP36L1/EIF5A/RPL7A/RPL41/CSDE1",77
"GO:0043603","GO:0043603","cellular amide metabolic process","86/411","484/5021",3.90321044822722e-13,2.107083106968e-10,1.91325789339419e-10,"RPS8/RPS13/RPL8/RPL24/RPL13A/RPLP1/RPS15/RPL37A/RPL35/RPS21/RPL35A/CALR/RPS5/RPS12/RPS11/RPL36/RPS9/RPL34/GPX4/RPL23/RPS18/RPL3/CLU/EEF1A1/RPS27/RPL12/RPL19/RPL11/RPS27A/RPL10A/ANPEP/GLO1/CCN1/ZFP36/RPS28/RPL13/RPS25/EEF1B2/RPL27A/RPLP0/RPS4X/RPS19/RPS3A/RPL31/RPL32/RPSA/RPS2/RPL5/RPS6/RPLP2/ACLY/RPS16/RPL10/RPL18/EEF1A2/EEF2/YBX1/FASN/RPS3/MRPL41/RACK1/RPL29/RPS4Y1/RPL9/RPL23A/PABPC1/RPL14/RPL30/GAPDH/HSPB1/RPL28/SEC11C/RPS7/UBA52/RPL27/EIF4G2/PDK4/KRT17/ZFP36L1/EIF5A/GSTA1/RPL7A/RPL41/MIPEP/CSDE1/GPX1",86
"GO:0006959","GO:0006959","humoral immune response","38/411","141/5021",1.38790229368408e-11,6.42202218463249e-09,5.83127670459147e-09,"KLK3/LTF/CLU/RPS19/IGHG1/IGKC/IGLC2/RPL30/GAPDH/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/IGKV3-20/HLA-DRB1/JCHAIN/IGHV3-73/IGHV4-4/IGHV4-34/LYZ/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/CCL2/SEMG1/WFDC2/SEMG2/SPON2/CFD/WFDC5/HLA-A",38
"GO:0042742","GO:0042742","defense response to bacterium","37/411","141/5021",6.1770436533807e-11,2.50093054916251e-08,2.27087631151917e-08,"KLK3/LTF/PLA2G2A/RPS19/IGHG1/IGKC/IGLC2/RPL30/IGHV3-30/ISG15/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/IGKV3-20/JCHAIN/IGHV3-73/IGHV4-4/IGHV4-34/LYZ/IGHA1/IGHV3-23/LCN2/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/SEMG1/WFDC2/SEMG2/CHGA/SPON2/WFDC5/HLA-A",37
"GO:0009617","GO:0009617","response to bacterium","58/411","304/5021",2.88191690612761e-10,1.03716987321637e-07,9.41763255639828e-08,"KLK3/FOS/XBP1/CD24/B2M/SPARC/LTF/PLA2G2A/JUN/JUND/ZFP36/NR4A1/RPS19/IGHG1/MAOB/IGKC/IGLC2/SCGB1A1/TSPO/RPL30/IGHV3-30/ISG15/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/IGKV3-20/HLA-DRB1/JCHAIN/IGHV3-73/IGHV4-4/IGHV4-34/HLA-B/LYZ/IGHA1/IGHV3-23/LCN2/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/C15orf48/CCL2/CA3/SEMG1/WFDC2/SEMG2/PTGS2/CHGA/SPON2/CFD/WFDC5/CAV1/GPX1/HLA-A",58
"GO:0002250","GO:0002250","adaptive immune response","47/411","225/5021",7.60479229798627e-10,2.46319222531775e-07,2.23660944006038e-07,"B2M/CD74/CLU/HLA-DRA/HLA-C/IGHG1/IGKC/TRGC1/IGLC2/AZGP1/IGLV3-19/IGLV1-44/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/IGKV3-20/IGLV2-14/HLA-DRB1/IGKJ1/IGLV1-40/IGLV3-21/JCHAIN/IGHV3-73/IGHV4-4/IGHV4-34/IGKV3-15/IGKV1-5/HLA-B/IGKV2-30/IGLV2-11/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLV3-25/IGLC3/HLA-E/IGKV1-6/IGLV2-23/IGHV1-3/IGKV1-16/IGHV3-7/HLA-DRB5/HLA-A",47
