"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","GO:0003735","structural constituent of ribosome","59/403","126/5050",1.10420705711439e-32,5.16768902729534e-30,4.60279994333998e-30,"RPS8/RPS13/RPL8/RPL24/RPL13A/RPLP1/RPS15/RPL37A/RPL35/RPS21/RPL35A/RPS5/RPS12/RPS11/RPL36/RPS9/RPL34/RPL23/RPS18/RPL3/RPS27/RPL12/RPL19/RPL11/RPS27A/RPL10A/RPS28/RPL13/RPS25/RPL27A/RPLP0/RPS4X/RPS19/RPS3A/RPL31/RPL32/RPSA/RPS2/RPL5/RPS6/RPLP2/RPS16/RPL10/RPL18/RPS3/MRPL41/RPL29/RPS4Y1/RPL9/RPL23A/RPL14/RPL30/ISG15/RPL28/RPS7/UBA52/RPL27/RPL7A/RPL41",59
"GO:0005198","GO:0005198","structural molecule activity","94/403","348/5050",4.87680525584508e-29,1.14117242986775e-26,1.01642888490245e-26,"RPS8/RPS13/RPL8/RPL24/ACTG1/RPL13A/RPLP1/RPS15/RPL37A/RPL35/RPS21/RPL35A/RPS5/RPS12/RPS11/RPL36/RPS9/RPL34/RPL23/KRT18/DES/RPS18/RPL3/MYL9/SPARC/KRT15/MYH11/TPM2/RPS27/RPL12/RPL19/RPL11/ACTB/RPS27A/COL1A2/RPL10A/AEBP1/KRT19/CCN1/CLDN4/CLDN3/RPS28/RPL13/RPS25/RPL27A/RPLP0/RPS4X/RPS19/RPS3A/RPL31/RPL32/RPSA/RPS2/RPL5/RPS6/RPLP2/RPS16/RPL10/RPL18/RPS3/GP2/TUBB4B/IGFBP7/MRPL41/RPL29/RPS4Y1/RPL9/RPL23A/FMOD/TCAP/MYL2/RPL14/RPL30/ISG15/RPL28/HLA-DRB1/RPS7/UBA52/RPL27/CLTA/MGP/MYL1/ACTA1/MYL6/MUC6/KRT17/COL9A2/FN1/RPL7A/RPL41/COL3A1/COL1A1/SYNM/TPM1",94
"GO:0003823","GO:0003823","antigen binding","42/403","101/5050",6.34893878920129e-21,9.90434451115401e-19,8.82168337025863e-19,"HLA-DRA/HLA-C/IGHG1/IGKC/GP2/IGLC2/IGLV3-19/IGLV1-44/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/IGKV3-20/IGLV2-14/HLA-DRB1/IGLV1-40/IGLV3-21/JCHAIN/IGHV3-73/IGHV4-4/IGHV4-34/IGKV3-15/IGKV1-5/HLA-B/IGKV2-30/IGLV2-11/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLV3-25/IGLC3/HLA-E/IGLV2-23/IGHV1-3/IGKV1-16/IGHV3-7/HLA-DRB5/SPON2/HLA-A",42
"GO:0019843","GO:0019843","rRNA binding","19/403","42/5050",7.31427733185325e-11,8.55770447826831e-09,7.62224690372076e-09,"RPS13/RPL8/RPS5/RPS11/RPS9/RPL23/RPS18/CAVIN1/RPL12/RPL19/RPL11/RPLP0/RPS4X/RPL5/EEF2/RPS3/RPS4Y1/RPL9/RPL23A",19
"GO:0034987","GO:0034987","immunoglobulin receptor binding","21/403","54/5050",2.33021467199174e-10,2.18108093298427e-08,1.94266317917627e-08,"FLNA/IGHG1/IGKC/IGLC2/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/JCHAIN/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/IGHV1-3/IGHV3-7",21
"GO:0061134","GO:0061134","peptidase regulator activity","23/403","103/5050",4.00979352975254e-06,0.000312763895320698,0.000278575129435439,"PEBP1/TIMP1/LTF/PRDX5/SPINK1/RACK1/PI15/APLP2/PSME1/GAPDH/BEX3/BST2/CST2/CST3/WFDC2/SPINK2/SERPINA5/CST1/FN1/SPOCK2/AGT/WFDC5/CAV1",23
"GO:0023026","GO:0023026","MHC class II protein complex binding","9/403","24/5050",5.3161269253835e-05,0.00355421057297068,0.00316569362774717,"YWHAE/HSP90AA1/HSP90AB1/HSPA8/B2M/CD74/HLA-DRA/HLA-DRB1/HLA-DRB5",9
"GO:0008307","GO:0008307","structural constituent of muscle","10/403","30/5050",6.56785827807091e-05,0.00379306775389279,0.00337844091439844,"MYL9/MYH11/TPM2/KRT19/TCAP/MYL2/MYL1/MYL6/SYNM/TPM1",10
"GO:0023023","GO:0023023","MHC protein complex binding","9/403","25/5050",7.7278767193131e-05,0.00379306775389279,0.00337844091439844,"YWHAE/HSP90AA1/HSP90AB1/HSPA8/B2M/CD74/HLA-DRA/HLA-DRB1/HLA-DRB5",9
"GO:0030414","GO:0030414","peptidase inhibitor activity","18/403","84/5050",8.10484562797606e-05,0.00379306775389279,0.00337844091439844,"PEBP1/TIMP1/LTF/PRDX5/SPINK1/PI15/APLP2/GAPDH/BST2/CST2/CST3/WFDC2/SPINK2/SERPINA5/CST1/SPOCK2/AGT/WFDC5",18
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","24/403","134/5050",0.000119852383498822,0.00489006923803229,0.00435552725654698,"CKB/YWHAE/HSP90AA1/TPI1/ACTG1/CALR/HSP90AB1/HSPA8/RPL23/HSPA5/CLU/RPL11/RPS27A/JUN/UBB/RPL5/TMBIM6/ISG15/UBA52/ELOB/CDKN1A/TXNIP/HSPA6/HSPA1B",24
"GO:0008236","GO:0008236","serine-type peptidase activity","14/403","58/5050",0.000131819093663463,0.00489006923803229,0.00435552725654698,"KLK2/KLK3/TMPRSS2/LTF/KLK4/PRSS8/MMP7/PLAT/KLK11/SEC11C/KLK14/DPP7/KLK12/CFD",14
"GO:0061135","GO:0061135","endopeptidase regulator activity","18/403","88/5050",0.00015287818599358,0.00489006923803229,0.00435552725654698,"PEBP1/TIMP1/LTF/PRDX5/SPINK1/APLP2/PSME1/GAPDH/BST2/CST2/CST3/WFDC2/SPINK2/SERPINA5/CST1/SPOCK2/AGT/WFDC5",18
"GO:0004252","GO:0004252","serine-type endopeptidase activity","13/403","52/5050",0.000156186153980377,0.00489006923803229,0.00435552725654698,"KLK2/KLK3/TMPRSS2/LTF/KLK4/PRSS8/MMP7/PLAT/KLK11/SEC11C/KLK14/KLK12/CFD",13
"GO:0017171","GO:0017171","serine hydrolase activity","14/403","59/5050",0.000160503460375208,0.00489006923803229,0.00435552725654698,"KLK2/KLK3/TMPRSS2/LTF/KLK4/PRSS8/MMP7/PLAT/KLK11/SEC11C/KLK14/DPP7/KLK12/CFD",14
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","17/403","81/5050",0.000167181854291702,0.00489006923803229,0.00435552725654698,"PEBP1/TIMP1/LTF/PRDX5/SPINK1/APLP2/GAPDH/BST2/CST2/CST3/WFDC2/SPINK2/SERPINA5/CST1/SPOCK2/AGT/WFDC5",17
"GO:0042605","GO:0042605","peptide antigen binding","7/403","18/5050",0.000286869241864609,0.00789734148191982,0.00703406933612292,"HLA-DRA/HLA-C/HLA-DRB1/HLA-B/HLA-E/HLA-DRB5/HLA-A",7
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","24/403","143/5050",0.00033573937385016,0.00872922372010417,0.00777501707863529,"CKB/YWHAE/HSP90AA1/TPI1/ACTG1/CALR/HSP90AB1/HSPA8/RPL23/HSPA5/CLU/RPL11/RPS27A/JUN/UBB/RPL5/TMBIM6/ISG15/UBA52/ELOB/CDKN1A/TXNIP/HSPA6/HSPA1B",24
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity","8/403","26/5050",0.000663374517887518,0.0163399618090189,0.0145538121375876,"NDUFB7/ND1/ND6/NDUFS5/ND4L/NDUFA1/ND2/ND5",8
"GO:0016655","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","9/403","33/5050",0.000820494629953136,0.0178667937342179,0.0159137434069957,"NDUFB7/ND1/ND6/NDUFS5/ND4L/NDUFA1/ND2/ND5/DCXR",9
"GO:0003954","GO:0003954","NADH dehydrogenase activity","8/403","27/5050",0.000878068922835497,0.0178667937342179,0.0159137434069957,"NDUFB7/ND1/ND6/NDUFS5/ND4L/NDUFA1/ND2/ND5",8
"GO:0044183","GO:0044183","protein folding chaperone","8/403","27/5050",0.000878068922835497,0.0178667937342179,0.0159137434069957,"CALR/HSP90AB1/HSPA8/HSPA5/CD74/HSPB1/HSPA6/HSPA1B",8
"GO:0050136","GO:0050136","NADH dehydrogenase (quinone) activity","8/403","27/5050",0.000878068922835497,0.0178667937342179,0.0159137434069957,"NDUFB7/ND1/ND6/NDUFS5/ND4L/NDUFA1/ND2/ND5",8
"GO:0030234","GO:0030234","enzyme regulator activity","50/403","407/5050",0.00105846254688705,0.0206400196642974,0.018383823182775,"HSP90AA1/RPLP1/RPS15/PEBP1/PSAP/HSP90AB1/RPL23/CD24/TIMP1/LTF/RPL11/PRDX5/JUN/EEF1B2/RPL5/DAD1/TMBIM6/SPINK1/SCGB1A1/RACK1/PPP1R1B/PI15/APLP2/PSME1/GAPDH/BEX3/HSPB1/ARF1/BST2/RPS7/RHOU/SOCS3/CDKN1A/ERRFI1/CST2/CST3/WFDC2/TXNIP/SPINK2/SERPINA5/CST1/DPM3/PTN/FN1/SPOCK2/AGT/WFDC5/CAV1/SFN/GNAS",50
"GO:0003955","GO:0003955","NAD(P)H dehydrogenase (quinone) activity","8/403","28/5050",0.00114511405587033,0.0214365351258925,0.0190932701526168,"NDUFB7/ND1/ND6/NDUFS5/ND4L/NDUFA1/ND2/ND5",8
"GO:0016651","GO:0016651","oxidoreductase activity, acting on NAD(P)H","10/403","42/5050",0.0013485076508741,0.0242731377157338,0.0216197987751475,"NDUFB7/ND1/ND6/NDUFS5/ND4L/NDUFA1/ND2/ND5/DCXR/GMPR",10
"GO:0016247","GO:0016247","channel regulator activity","9/403","37/5050",0.00198776482928311,0.0332240692894463,0.0295922884359441,"YWHAE/FLNA/NPY/TSPAN13/PRSS8/RACK1/VAMP8/GNB2/CAV1",9
"GO:0099106","GO:0099106","ion channel regulator activity","9/403","37/5050",0.00198776482928311,0.0332240692894463,0.0295922884359441,"YWHAE/FLNA/NPY/TSPAN13/PRSS8/RACK1/VAMP8/GNB2/CAV1",9
"GO:0016835","GO:0016835","carbon-oxygen lyase activity","8/403","31/5050",0.00235036743832418,0.0379300676253694,0.0337838659011388,"TPI1/ENO1/CYP1B1/FASN/RPS3/CA3/CA2/ECHS1",8
"GO:0050839","GO:0050839","cell adhesion molecule binding","39/403","310/5050",0.00248153320110884,0.038711917937298,0.0344802507943545,"YWHAE/RPL24/S100A11/ENO1/CALR/P4HB/RPL34/HSP90AB1/HSPA8/KRT18/HSPA5/PFN1/FLNA/CCN1/RPSA/RPS2/EEF2/FASN/HDLBP/CD177/RACK1/RPL29/RPL23A/PDLIM5/CCN2/RPL14/VSTM2L/ISG15/BCAM/EIF4G2/S100P/PTN/FN1/RPL7A/COL3A1/CDH1/CALD1/SFN/CORO1B",39
"GO:0043022","GO:0043022","ribosome binding","8/403","32/5050",0.00292012413658794,0.0440844547071986,0.039265506216938,"RPN2/HSPA5/RPSA/EEF2/RACK1/SEC61A1/SEC61B/EIF5A",8
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","10/403","47/5050",0.00331102603462016,0.0484237557563198,0.043130470714131,"ACTG1/DES/KRT15/ACTB/KRT19/TUBB4B/HLA-DRB1/ACTA1/SYNM/TPM1",10
"GO:0055106","GO:0055106","ubiquitin-protein transferase regulator activity","5/403","14/5050",0.00345050413431046,0.0489344222684029,0.0435853153807637,"RPS15/RPL23/RPL11/RPL5/RPS7",5
"GO:0042277","GO:0042277","peptide binding","18/403","115/5050",0.00402381520028014,0.0553866327567972,0.0493322235080785,"CALR/HSP90AB1/CD74/CLU/HLA-DRA/HLA-C/ANPEP/KDELR2/CLSTN1/HLA-DRB1/HLA-B/HLA-E/SEC61A1/SRP14/CLTA/CST3/HLA-DRB5/HLA-A",18
"GO:0004857","GO:0004857","enzyme inhibitor activity","8/403","34/5050",0.0043776374215322,0.0585352660936305,0.0521366742534361,"RPS15/RPL23/RPL11/RPL5/TMBIM6/SCGB1A1/RPS7/TXNIP",8
