Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT5G37260	3.04808673781839	6.96460853569716	24.1549982836733	1.19334103485244e-16	2.51556290146894e-12	26.622628063064
AT3G02990	1.64848851880283	3.30459650203434	13.6053340916954	8.57397655721447e-12	9.03697129130406e-08	16.0062155845612
AT2G29500	-5.03422239427134	5.52580216029024	-12.0621196803197	7.93758566977963e-11	5.57747686396515e-07	14.645646144847
AT3G24520	1.87157410671207	5.88296519834341	11.7100032393482	1.36000833433128e-10	7.16724392192585e-07	14.3855452517146
AT3G46230	-6.70686475839865	4.54449435151341	-11.1899099588497	3.08158135842948e-10	1.29919470071387e-06	12.5195327027837
AT5G65630	1.04689034284407	7.55377544084635	10.6575905139158	7.32926981170668e-10	2.57501679384628e-06	12.8025593449931
AT3G24100	-1.27591561531675	5.98829525608888	-10.2371870461096	1.48511834889237e-09	4.0216330988485e-06	12.1093944309095
AT1G53540	-7.18475833013036	4.31696506544236	-10.1601830066309	1.69386598856937e-09	4.0216330988485e-06	10.8647336304377
AT4G21320	-2.86414529571902	4.70513617619913	-10.1522578405516	1.71701602892014e-09	4.0216330988485e-06	11.8254991507234
AT5G48570	-4.00781944852684	6.42234124022337	-10.0366243130429	2.09483217431925e-09	4.41590622346497e-06	11.7523248117718
AT5G52882	0.878655457389262	7.64962096677825	9.82872238555756	3.00711558806966e-09	5.39881065977559e-06	11.4301007708529
AT5G02810	-4.8872283833224	3.41933572364605	-9.81629001489222	3.0733267512954e-09	5.39881065977559e-06	10.4309080766172
AT1G09140	-1.24692803319114	7.02705198377674	-9.49609483277748	5.41978611504472e-09	8.78839163885713e-06	10.854554849605
AT4G24780	1.92888453903518	6.97956802497608	9.38092698912247	6.66678826261403e-09	1.00382783268503e-05	10.6519217192755
AT5G59570	1.53152759707047	3.00574121141622	9.33068937533898	7.30076934587702e-09	1.02600145207392e-05	10.1463915103234
AT4G11880	2.74366277210706	2.91935675773326	9.18328906910719	9.5478542186994e-09	1.245738568794e-05	9.78198659987876
AT4G25500	1.05176758959509	6.14373755665358	9.15550325110009	1.00462787805968e-08	1.245738568794e-05	10.2508384201437
AT1G22770	-3.58828434880197	3.9530358567107	-9.09040436024607	1.13225945530215e-08	1.32600162876496e-05	9.95865247489605
AT1G31230	1.15744696335706	6.11499642896301	8.72153544023227	2.25244926943809e-08	2.49903318946078e-05	9.45967186549005
AT2G27820	-0.870911817340282	5.73580806042111	-8.68072414752556	2.43314589790332e-08	2.5645357763901e-05	9.38569323442096
AT5G36890	1.22475831283221	4.60535436523147	8.61795894837797	2.74088968317399e-08	2.75133116768132e-05	9.25502933422586
AT5G08100	1.01612905244119	5.0387969772882	8.58180294601966	2.93621257453176e-08	2.81342550323316e-05	9.20094937633234
AT5G12020	-8.25511866634048	3.02859072291046	-8.51027440741028	3.3662694154376e-08	3.08525909901846e-05	6.99393105140748
AT3G54600	2.27253509446	6.22312704299717	8.45791741424933	3.7220600058774e-08	3.26920937182899e-05	8.96941898994698
